net.optimized_memory = 0 
mini_batch = 1, batch = 16, time_steps = 1, train = 0 

 seen 64, trained: 32013 K-images (500 Kilo-batches_64) 
Enter Image Path: data/obj/img/frame251.png: Predicted in 60.184000 milli-seconds.
Enter Image Path: data/obj/img/frame252.png: Predicted in 59.939000 milli-seconds.
Enter Image Path: data/obj/img/frame253.png: Predicted in 59.969000 milli-seconds.
Enter Image Path: data/obj/img/frame254.png: Predicted in 60.171000 milli-seconds.
Enter Image Path: data/obj/img/frame255.png: Predicted in 60.363000 milli-seconds.
Enter Image Path: data/obj/img/frame256.png: Predicted in 60.152000 milli-seconds.
Enter Image Path: data/obj/img/frame257.png: Predicted in 60.201000 milli-seconds.
Enter Image Path: data/obj/img/frame258.png: Predicted in 60.090000 milli-seconds.
Enter Image Path: data/obj/img/frame259.png: Predicted in 60.451000 milli-seconds.
Enter Image Path: data/obj/img/frame26.png: Predicted in 60.301000 milli-seconds.
Enter Image Path: data/obj/img/frame260.png: Predicted in 60.255000 milli-seconds.
Enter Image Path: data/obj/img/frame261.png: Predicted in 60.106000 milli-seconds.
Enter Image Path: data/obj/img/frame262.png: Predicted in 60.252000 milli-seconds.
Enter Image Path: data/obj/img/frame263.png: Predicted in 60.122000 milli-seconds.
Enter Image Path: data/obj/img/frame264.png: Predicted in 60.262000 milli-seconds.
Enter Image Path: data/obj/img/frame265.png: Predicted in 60.765000 milli-seconds.
Enter Image Path: data/obj/img/frame266.png: Predicted in 61.204000 milli-seconds.
Enter Image Path: data/obj/img/frame267.png: Predicted in 60.852000 milli-seconds.
Enter Image Path: data/obj/img/frame268.png: Predicted in 60.485000 milli-seconds.
Enter Image Path: data/obj/img/frame269.png: Predicted in 60.298000 milli-seconds.
Enter Image Path: data/obj/img/frame27.png: Predicted in 60.171000 milli-seconds.
Enter Image Path: data/obj/img/frame270.png: Predicted in 60.290000 milli-seconds.
Enter Image Path: data/obj/img/frame271.png: Predicted in 60.301000 milli-seconds.
Enter Image Path: data/obj/img/frame272.png: Predicted in 60.280000 milli-seconds.
Enter Image Path: data/obj/img/frame273.png: Predicted in 60.431000 milli-seconds.
Enter Image Path: data/obj/img/frame274.png: Predicted in 60.408000 milli-seconds.
Enter Image Path: data/obj/img/frame275.png: Predicted in 60.282000 milli-seconds.
Enter Image Path: data/obj/img/frame276.png: Predicted in 59.567000 milli-seconds.
Enter Image Path: data/obj/img/frame277.png: Predicted in 60.546000 milli-seconds.
Enter Image Path: data/obj/img/frame278.png: Predicted in 60.293000 milli-seconds.
Enter Image Path: data/obj/img/frame279.png: Predicted in 60.357000 milli-seconds.
Enter Image Path: data/obj/img/frame28.png: Predicted in 60.139000 milli-seconds.
Enter Image Path: data/obj/img/frame280.png: Predicted in 60.476000 milli-seconds.
Enter Image Path: data/obj/img/frame281.png: Predicted in 60.306000 milli-seconds.
Enter Image Path: data/obj/img/frame282.png: Predicted in 60.270000 milli-seconds.
Enter Image Path: data/obj/img/frame283.png: Predicted in 60.839000 milli-seconds.
Enter Image Path: data/obj/img/frame284.png: Predicted in 60.972000 milli-seconds.
Enter Image Path: data/obj/img/frame285.png: Predicted in 62.037000 milli-seconds.
Enter Image Path: data/obj/img/frame286.png: Predicted in 62.416000 milli-seconds.
Enter Image Path: data/obj/img/frame287.png: Predicted in 62.226000 milli-seconds.
Enter Image Path: data/obj/img/frame288.png: Predicted in 62.643000 milli-seconds.
Enter Image Path: data/obj/img/frame289.png: Predicted in 62.512000 milli-seconds.
Enter Image Path: data/obj/img/frame29.png: Predicted in 62.801000 milli-seconds.
Enter Image Path: data/obj/img/frame290.png: Predicted in 60.338000 milli-seconds.
Enter Image Path: data/obj/img/frame291.png: Predicted in 60.074000 milli-seconds.
Enter Image Path: data/obj/img/frame292.png: Predicted in 60.037000 milli-seconds.
Enter Image Path: data/obj/img/frame293.png: Predicted in 61.156000 milli-seconds.
Enter Image Path: data/obj/img/frame294.png: Predicted in 61.186000 milli-seconds.
Enter Image Path: data/obj/img/frame295.png: Predicted in 61.648000 milli-seconds.
Enter Image Path: data/obj/img/frame296.png: Predicted in 61.592000 milli-seconds.
Enter Image Path: data/obj/img/frame297.png: Predicted in 61.607000 milli-seconds.
Enter Image Path: data/obj/img/frame3.png: Predicted in 62.525000 milli-seconds.
Enter Image Path: data/obj/img/frame30.png: Predicted in 61.011000 milli-seconds.
Enter Image Path: data/obj/img/frame31.png: Predicted in 61.138000 milli-seconds.
Enter Image Path: data/obj/img/frame32.png: Predicted in 61.224000 milli-seconds.
Enter Image Path: data/obj/img/frame33.png: Predicted in 60.439000 milli-seconds.
Enter Image Path: data/obj/img/frame34.png: Predicted in 60.207000 milli-seconds.
Enter Image Path: data/obj/img/frame35.png: Predicted in 59.928000 milli-seconds.
Enter Image Path: data/obj/img/frame36.png: Predicted in 60.227000 milli-seconds.
Enter Image Path: data/obj/img/frame37.png: Predicted in 60.059000 milli-seconds.
Enter Image Path: data/obj/img/frame38.png: Predicted in 60.371000 milli-seconds.
Enter Image Path: data/obj/img/frame39.png: Predicted in 60.272000 milli-seconds.
Enter Image Path: data/obj/img/frame4.png: Predicted in 60.454000 milli-seconds.
Enter Image Path: data/obj/img/frame40.png: Predicted in 60.266000 milli-seconds.
Enter Image Path: data/obj/img/frame41.png: Predicted in 60.375000 milli-seconds.
Enter Image Path: data/obj/img/frame42.png: Predicted in 60.474000 milli-seconds.
Enter Image Path: data/obj/img/frame43.png: Predicted in 60.132000 milli-seconds.
Enter Image Path: data/obj/img/frame44.png: Predicted in 59.971000 milli-seconds.
Enter Image Path: data/obj/img/frame45.png: Predicted in 60.407000 milli-seconds.
Enter Image Path: data/obj/img/frame46.png: Predicted in 60.450000 milli-seconds.
Enter Image Path: data/obj/img/frame47.png: Predicted in 60.487000 milli-seconds.
Enter Image Path: data/obj/img/frame48.png: Predicted in 60.203000 milli-seconds.
Enter Image Path: data/obj/img/frame49.png: Predicted in 60.152000 milli-seconds.
Enter Image Path: data/obj/img/frame5.png: Predicted in 60.384000 milli-seconds.
Enter Image Path: data/obj/img/frame50.png: Predicted in 60.374000 milli-seconds.
Enter Image Path: data/obj/img/frame51.png: Predicted in 60.053000 milli-seconds.
Enter Image Path: data/obj/img/frame52.png: Predicted in 60.397000 milli-seconds.
Enter Image Path: data/obj/img/frame53.png: Predicted in 60.349000 milli-seconds.
Enter Image Path: data/obj/img/frame54.png: Predicted in 60.318000 milli-seconds.
Enter Image Path: data/obj/img/frame55.png: Predicted in 59.742000 milli-seconds.
Enter Image Path: data/obj/img/frame56.png: Predicted in 60.705000 milli-seconds.
Enter Image Path: data/obj/img/frame57.png: Predicted in 60.368000 milli-seconds.
Enter Image Path: data/obj/img/frame58.png: Predicted in 60.249000 milli-seconds.
Enter Image Path: data/obj/img/frame59.png: Predicted in 60.416000 milli-seconds.
Enter Image Path: data/obj/img/frame6.png: Predicted in 60.493000 milli-seconds.
Enter Image Path: data/obj/img/frame60.png: Predicted in 60.366000 milli-seconds.
Enter Image Path: data/obj/img/frame61.png: Predicted in 60.097000 milli-seconds.
Enter Image Path: data/obj/img/frame62.png: Predicted in 60.408000 milli-seconds.
Enter Image Path: data/obj/img/frame63.png: Predicted in 60.370000 milli-seconds.
Enter Image Path: data/obj/img/frame64.png: Predicted in 60.478000 milli-seconds.
Enter Image Path: data/obj/img/frame65.png: Predicted in 60.217000 milli-seconds.
Enter Image Path: data/obj/img/frame66.png: Predicted in 60.080000 milli-seconds.
Enter Image Path: data/obj/img/frame67.png: Predicted in 60.151000 milli-seconds.
Enter Image Path: data/obj/img/frame68.png: Predicted in 60.133000 milli-seconds.
Enter Image Path: data/obj/img/frame69.png: Predicted in 59.971000 milli-seconds.
Enter Image Path: data/obj/img/frame7.png: Predicted in 60.200000 milli-seconds.
Enter Image Path: data/obj/img/frame70.png: Predicted in 60.269000 milli-seconds.
Enter Image Path: data/obj/img/frame71.png: Predicted in 60.377000 milli-seconds.
Enter Image Path: data/obj/img/frame72.png: Predicted in 60.428000 milli-seconds.
Enter Image Path: data/obj/img/frame73.png: Predicted in 60.015000 milli-seconds.
Enter Image Path: data/obj/img/frame74.png: Predicted in 59.941000 milli-seconds.
Enter Image Path: data/obj/img/frame75.png: Predicted in 60.182000 milli-seconds.
Enter Image Path: data/obj/img/frame76.png: Predicted in 60.292000 milli-seconds.
Enter Image Path: data/obj/img/frame77.png: Predicted in 61.039000 milli-seconds.
Enter Image Path: data/obj/img/frame78.png: Predicted in 61.353000 milli-seconds.
Enter Image Path: data/obj/img/frame79.png: Predicted in 60.446000 milli-seconds.
Enter Image Path: data/obj/img/frame8.png: Predicted in 60.203000 milli-seconds.
Enter Image Path: data/obj/img/frame80.png: Predicted in 59.954000 milli-seconds.
Enter Image Path: data/obj/img/frame81.png: Predicted in 60.344000 milli-seconds.
Enter Image Path: data/obj/img/frame82.png: Predicted in 60.315000 milli-seconds.
Enter Image Path: data/obj/img/frame83.png: Predicted in 60.447000 milli-seconds.
Enter Image Path: data/obj/img/frame84.png: Predicted in 60.164000 milli-seconds.
Enter Image Path: data/obj/img/frame85.png: Predicted in 60.027000 milli-seconds.
Enter Image Path: data/obj/img/frame86.png: Predicted in 60.348000 milli-seconds.
Enter Image Path: data/obj/img/frame87.png: Predicted in 60.323000 milli-seconds.
Enter Image Path: data/obj/img/frame88.png: Predicted in 59.894000 milli-seconds.
Enter Image Path: data/obj/img/frame89.png: Predicted in 60.489000 milli-seconds.
Enter Image Path: data/obj/img/frame9.png: Predicted in 60.393000 milli-seconds.
Enter Image Path: data/obj/img/frame90.png: Predicted in 60.323000 milli-seconds.
